"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Dec-2005","EQ","898.00","900.85","885.25","891.10","888.90","889.30","894.68","900.85","490.00","4,947,825","4,426,732,909.25","-"
"29-Dec-2005","EQ","868.00","895.00","868.00","872.50","894.75","891.10","886.27","895.00","490.00","9,084,303","8,051,119,285.10","-"
"28-Dec-2005","EQ","870.00","889.90","868.00","866.90","870.00","872.50","879.57","889.90","490.00","10,837,449","9,532,280,623.40","-"
"27-Dec-2005","EQ","835.00","869.90","828.15","832.70","866.00","866.90","850.62","874.50","490.00","5,892,643","5,012,395,778.65","-"
"26-Dec-2005","EQ","840.00","841.90","827.00","842.90","833.50","832.70","831.18","874.50","490.00","5,323,102","4,424,470,790.00","-"
"23-Dec-2005","EQ","855.00","860.00","840.20","855.95","845.00","842.90","847.67","874.50","472.10","5,808,569","4,923,759,398.80","-"
"22-Dec-2005","EQ","864.00","869.75","853.20","860.15","855.00","855.95","860.72","874.50","472.10","5,728,800","4,930,866,615.35","-"
"21-Dec-2005","EQ","856.10","863.40","849.05","854.55","860.50","860.15","856.76","874.50","472.10","3,759,130","3,220,661,949.75","-"
"20-Dec-2005","EQ","859.80","866.70","852.25","857.15","854.00","854.55","858.15","874.50","472.10","3,623,424","3,109,435,195.80","-"
"19-Dec-2005","EQ","854.00","861.50","854.00","849.35","856.60","857.15","858.12","874.50","472.10","2,442,801","2,096,223,086.95","-"
"16-Dec-2005","EQ","850.00","854.00","842.10","845.25","852.55","849.35","847.20","874.50","472.10","4,827,054","4,089,486,421.60","-"
"15-Dec-2005","EQ","864.00","864.90","839.10","861.95","847.75","845.25","851.07","874.50","472.10","5,272,788","4,487,522,658.05","-"
"14-Dec-2005","EQ","870.15","873.40","856.00","871.60","858.00","861.95","864.05","874.50","472.10","3,952,919","3,415,530,105.50","-"
"13-Dec-2005","EQ","865.90","874.50","859.30","863.20","871.20","871.60","868.68","874.50","472.10","4,009,892","3,483,329,993.20","-"
"12-Dec-2005","EQ","866.10","873.40","860.05","863.35","860.45","863.20","867.85","873.40","472.10","2,668,744","2,316,076,158.00","-"
"09-Dec-2005","EQ","840.00","864.90","840.00","846.15","864.35","863.35","858.68","865.85","472.10","6,477,762","5,562,311,312.25","-"
"08-Dec-2005","EQ","850.00","852.20","835.25","843.45","847.30","846.15","841.44","865.85","472.10","4,734,900","3,984,119,384.20","-"
"07-Dec-2005","EQ","840.00","849.90","829.00","836.75","845.45","843.45","837.21","865.85","472.10","5,278,514","4,419,209,096.35","-"
"06-Dec-2005","EQ","842.00","846.80","830.00","840.25","837.70","836.75","838.42","865.85","472.10","5,034,572","4,221,101,937.65","-"
"05-Dec-2005","EQ","847.00","851.90","836.00","839.40","842.50","840.25","843.98","865.85","472.10","3,841,846","3,242,452,123.15","-"
"02-Dec-2005","EQ","842.00","849.20","835.00","839.55","837.35","839.40","843.64","865.85","472.10","4,049,241","3,416,089,213.15","-"
"01-Dec-2005","EQ","833.00","843.30","830.25","832.70","840.80","839.55","836.53","865.85","472.10","6,078,658","5,084,967,857.70","-"
"30-Nov-2005","EQ","850.20","855.45","829.10","848.15","831.10","832.70","845.88","865.85","472.10","6,347,408","5,369,118,168.80","-"
"29-Nov-2005","EQ","849.20","865.85","840.60","847.90","847.40","848.15","851.06","865.85","472.10","8,083,545","6,879,553,562.80","-"
"28-Nov-2005","EQ","846.00","850.00","842.75","845.90","847.40","847.90","847.23","850.00","472.10","3,755,074","3,181,417,539.40","-"
