"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2021","EQ","2,373.00","2,383.90","2,360.00","2,359.10","2,368.50","2,368.15","2,370.53","2,751.35","1,830.00","4,373,768","10,368,136,137.70","138,728"
"30-Dec-2021","EQ","2,400.00","2,404.95","2,345.60","2,402.50","2,364.00","2,359.10","2,366.88","2,751.35","1,830.00","13,537,254","32,041,015,240.70","226,181"
"29-Dec-2021","EQ","2,391.00","2,419.00","2,382.10","2,398.40","2,398.00","2,402.50","2,400.08","2,751.35","1,830.00","7,118,779","17,085,610,789.25","169,024"
"28-Dec-2021","EQ","2,375.60","2,404.85","2,373.05","2,370.25","2,404.00","2,398.40","2,389.02","2,751.35","1,830.00","2,941,883","7,028,226,280.45","121,810"
"27-Dec-2021","EQ","2,361.55","2,378.00","2,348.10","2,372.80","2,371.00","2,370.25","2,366.87","2,751.35","1,830.00","1,853,948","4,388,054,040.05","89,509"
"24-Dec-2021","EQ","2,370.00","2,392.00","2,337.55","2,365.25","2,367.15","2,372.80","2,360.96","2,751.35","1,830.00","3,639,616","8,592,980,567.85","159,321"
"23-Dec-2021","EQ","2,374.00","2,380.00","2,358.05","2,366.10","2,365.00","2,365.25","2,367.28","2,751.35","1,830.00","4,186,912","9,911,598,013.55","173,393"
"22-Dec-2021","EQ","2,324.90","2,371.90","2,322.00","2,311.25","2,365.00","2,366.10","2,346.81","2,751.35","1,830.00","8,149,415","19,125,125,458.70","222,615"
"21-Dec-2021","EQ","2,311.35","2,346.00","2,292.20","2,277.35","2,313.00","2,311.25","2,317.69","2,751.35","1,830.00","5,924,071","13,730,177,504.20","241,858"
"20-Dec-2021","EQ","2,317.85","2,317.85","2,247.10","2,340.45","2,276.80","2,277.35","2,277.67","2,751.35","1,830.00","6,611,376","15,058,513,385.60","331,211"
"17-Dec-2021","EQ","2,398.05","2,408.00","2,320.00","2,403.90","2,343.40","2,340.45","2,346.72","2,751.35","1,830.00","9,714,489","22,797,150,333.50","301,459"
"16-Dec-2021","EQ","2,405.70","2,415.50","2,368.65","2,373.20","2,413.95","2,403.90","2,392.29","2,751.35","1,830.00","4,504,829","10,776,855,117.15","187,830"
"15-Dec-2021","EQ","2,384.00","2,405.00","2,361.10","2,380.15","2,369.90","2,373.20","2,379.84","2,751.35","1,830.00","4,322,855","10,287,701,638.50","199,178"
"14-Dec-2021","EQ","2,380.00","2,406.00","2,373.40","2,409.65","2,382.50","2,380.15","2,386.78","2,751.35","1,830.00","5,995,586","14,310,134,060.60","248,926"
"13-Dec-2021","EQ","2,473.50","2,474.10","2,404.00","2,458.95","2,411.45","2,409.65","2,425.30","2,751.35","1,830.00","5,954,148","14,440,614,208.20","240,510"
"10-Dec-2021","EQ","2,440.25","2,466.00","2,430.35","2,456.45","2,457.25","2,458.95","2,443.62","2,751.35","1,830.00","3,860,176","9,432,810,632.75","177,038"
"09-Dec-2021","EQ","2,435.00","2,474.90","2,425.00","2,418.10","2,453.00","2,456.45","2,453.15","2,751.35","1,830.00","6,098,050","14,959,457,280.85","248,350"
"08-Dec-2021","EQ","2,424.10","2,431.80","2,406.30","2,381.85","2,420.95","2,418.10","2,418.81","2,751.35","1,830.00","4,035,437","9,760,953,632.95","175,071"
"07-Dec-2021","EQ","2,376.15","2,404.00","2,360.00","2,362.60","2,382.00","2,381.85","2,387.87","2,751.35","1,830.00","5,185,007","12,381,107,849.30","233,720"
"06-Dec-2021","EQ","2,416.00","2,425.00","2,357.15","2,408.25","2,365.95","2,362.60","2,388.06","2,751.35","1,830.00","4,768,334","11,387,071,064.70","210,176"
"03-Dec-2021","EQ","2,498.40","2,498.50","2,400.00","2,482.85","2,413.15","2,408.25","2,436.10","2,751.35","1,830.00","8,871,172","21,611,045,769.40","283,259"
"02-Dec-2021","EQ","2,469.70","2,496.20","2,461.60","2,467.00","2,481.95","2,482.85","2,482.51","2,751.35","1,830.00","5,870,468","14,573,515,872.05","248,052"
"01-Dec-2021","EQ","2,433.00","2,474.00","2,425.10","2,405.40","2,467.75","2,467.00","2,449.60","2,751.35","1,830.00","4,663,276","11,423,147,561.65","202,787"
"30-Nov-2021","EQ","2,468.00","2,475.90","2,388.85","2,441.50","2,401.20","2,405.40","2,424.91","2,751.35","1,830.00","14,847,511","36,003,821,297.30","381,257"
"29-Nov-2021","EQ","2,439.10","2,500.00","2,399.10","2,412.60","2,437.70","2,441.50","2,464.20","2,751.35","1,830.00","11,226,147","27,663,493,598.00","375,905"
"26-Nov-2021","EQ","2,467.80","2,477.60","2,401.50","2,492.95","2,405.10","2,412.60","2,433.36","2,751.35","1,830.00","7,274,686","17,701,896,486.35","306,992"
"25-Nov-2021","EQ","2,373.00","2,502.00","2,357.15","2,351.40","2,501.00","2,492.95","2,452.67","2,751.35","1,830.00","19,568,487","47,994,998,310.55","497,536"
"24-Nov-2021","EQ","2,380.00","2,409.90","2,343.55","2,385.85","2,343.55","2,351.40","2,376.12","2,751.35","1,830.00","7,762,564","18,444,768,823.80","291,051"
"23-Nov-2021","EQ","2,333.05","2,401.25","2,309.00","2,363.75","2,389.95","2,385.85","2,362.47","2,751.35","1,830.00","11,688,406","27,613,501,135.60","393,864"
"22-Nov-2021","EQ","2,436.10","2,449.00","2,351.00","2,473.30","2,365.65","2,363.75","2,380.24","2,751.35","1,830.00","11,133,364","26,500,112,857.50","469,744"
"18-Nov-2021","EQ","2,460.00","2,489.00","2,450.05","2,464.00","2,473.00","2,473.30","2,467.65","2,751.35","1,830.00","3,925,345","9,686,386,834.65","218,820"
"17-Nov-2021","EQ","2,498.95","2,498.95","2,461.00","2,517.90","2,462.80","2,464.00","2,479.92","2,751.35","1,830.00","4,708,235","11,676,042,764.70","240,722"
"16-Nov-2021","EQ","2,572.05","2,575.00","2,495.00","2,577.80","2,497.25","2,517.90","2,536.01","2,751.35","1,830.00","5,232,292","13,269,127,406.10","209,557"
"15-Nov-2021","EQ","2,600.00","2,602.20","2,570.00","2,593.10","2,574.50","2,577.80","2,581.57","2,751.35","1,830.00","2,216,708","5,722,594,256.70","107,475"
"12-Nov-2021","EQ","2,562.90","2,598.75","2,557.00","2,554.55","2,588.00","2,593.10","2,582.61","2,751.35","1,830.00","4,020,744","10,384,009,844.25","149,602"
"11-Nov-2021","EQ","2,540.05","2,570.50","2,535.55","2,549.90","2,556.00","2,554.55","2,551.89","2,751.35","1,830.00","4,948,422","12,627,828,736.25","216,865"
"10-Nov-2021","EQ","2,516.70","2,558.00","2,503.65","2,521.70","2,546.45","2,549.90","2,538.63","2,751.35","1,830.00","4,731,975","12,012,742,203.00","168,600"
"09-Nov-2021","EQ","2,505.00","2,528.90","2,487.05","2,501.95","2,528.60","2,521.70","2,508.11","2,751.35","1,830.00","7,237,470","18,152,375,051.00","205,289"
"08-Nov-2021","EQ","2,519.40","2,520.00","2,456.40","2,498.85","2,502.90","2,501.95","2,483.27","2,751.35","1,830.00","9,385,607","23,306,981,380.10","456,493"
