"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Dec-2011","EQ","713.00","720.55","689.00","711.90","693.10","692.95","703.06","1,091.40","689.00","6,662,330","4,684,037,272.35","168,592"
"29-Dec-2011","EQ","733.65","739.00","707.20","739.05","709.70","711.90","720.10","1,091.40","707.20","5,449,524","3,924,180,528.10","107,457"
"28-Dec-2011","EQ","757.70","758.50","735.35","753.05","736.10","739.05","743.80","1,091.40","709.20","2,829,068","2,104,268,441.85","79,333"
"27-Dec-2011","EQ","766.00","768.70","745.35","761.00","754.05","753.05","757.23","1,091.40","709.20","3,074,308","2,327,961,267.85","62,515"
"26-Dec-2011","EQ","747.05","764.80","745.55","746.40","759.30","761.00","757.75","1,091.40","709.20","2,376,469","1,800,774,722.25","57,259"
"23-Dec-2011","EQ","760.00","769.75","742.40","754.55","745.50","746.40","757.91","1,091.40","709.20","3,511,075","2,661,081,257.05","81,212"
"22-Dec-2011","EQ","741.35","760.30","733.00","748.00","758.30","754.55","744.42","1,091.40","709.20","4,473,719","3,330,314,213.40","93,790"
"21-Dec-2011","EQ","727.00","753.75","722.70","713.45","753.05","748.00","733.89","1,091.40","709.20","4,563,405","3,349,022,526.50","105,027"
"20-Dec-2011","EQ","741.70","741.70","709.20","735.30","711.75","713.45","724.03","1,091.40","709.20","5,550,563","4,018,786,162.20","154,595"
"19-Dec-2011","EQ","719.20","739.90","715.15","721.85","736.00","735.30","726.75","1,091.40","712.00","4,714,116","3,426,000,346.20","111,416"
"16-Dec-2011","EQ","749.00","844.60","716.05","750.15","720.00","721.85","741.45","1,091.40","712.00","5,828,713","4,321,721,691.00","130,928"
"15-Dec-2011","EQ","731.90","754.50","723.50","741.90","750.85","750.15","741.04","1,091.40","712.00","6,611,139","4,899,098,285.25","135,503"
"14-Dec-2011","EQ","738.00","753.90","733.40","742.30","739.70","741.90","745.66","1,091.40","712.00","5,304,706","3,955,503,044.80","105,074"
"13-Dec-2011","EQ","723.90","746.00","721.00","727.50","743.65","742.30","734.72","1,091.40","712.00","5,228,468","3,841,451,760.00","132,811"
"12-Dec-2011","EQ","760.55","762.00","724.00","755.70","726.80","727.50","740.66","1,091.40","712.00","5,097,034","3,775,172,443.50","115,531"
"09-Dec-2011","EQ","769.90","769.90","752.70","778.85","753.40","755.70","760.14","1,091.40","712.00","5,044,876","3,834,835,072.85","114,842"
"08-Dec-2011","EQ","802.00","807.70","772.10","809.80","777.05","778.85","784.38","1,091.40","712.00","4,442,697","3,484,760,625.60","109,467"
"07-Dec-2011","EQ","807.00","819.50","803.20","806.75","804.10","809.80","812.64","1,091.40","712.00","3,514,150","2,855,726,931.60","94,146"
"05-Dec-2011","EQ","808.35","812.20","798.35","812.05","808.35","806.75","805.48","1,091.40","712.00","3,160,834","2,545,989,624.45","78,190"
"02-Dec-2011","EQ","797.00","815.00","786.55","799.00","813.25","812.05","801.17","1,091.40","712.00","4,479,880","3,589,130,210.10","97,387"
"01-Dec-2011","EQ","799.00","810.75","795.20","778.25","798.75","799.00","802.46","1,091.40","712.00","4,714,967","3,783,552,799.15","111,809"
"30-Nov-2011","EQ","756.70","783.30","753.10","765.00","783.25","778.25","768.64","1,091.40","712.00","4,569,146","3,512,016,413.40","106,020"
"29-Nov-2011","EQ","782.00","782.00","759.15","783.80","761.10","765.00","766.74","1,091.40","712.00","4,803,440","3,682,977,071.35","112,512"
"28-Nov-2011","EQ","765.00","785.80","762.55","753.80","784.25","783.80","775.38","1,091.40","712.00","2,522,069","1,955,558,026.05","68,490"
"25-Nov-2011","EQ","769.70","771.25","751.00","773.15","751.70","753.80","761.33","1,091.40","712.00","3,699,725","2,816,712,588.55","106,949"
"24-Nov-2011","EQ","775.00","778.00","753.15","773.40","775.15","773.15","765.19","1,091.40","712.00","6,367,715","4,872,489,627.20","144,727"
"23-Nov-2011","EQ","789.90","789.90","755.80","795.20","775.00","773.40","771.24","1,091.40","712.00","5,419,769","4,179,922,387.60","135,597"
"22-Nov-2011","EQ","788.10","804.45","786.60","786.35","795.00","795.20","795.93","1,091.40","712.00","4,382,352","3,488,058,540.70","91,512"
"21-Nov-2011","EQ","800.00","800.00","781.50","808.10","788.55","786.35","787.84","1,091.40","712.00","4,049,501","3,190,357,678.00","99,527"
"18-Nov-2011","EQ","800.30","811.95","787.00","809.95","809.95","808.10","796.95","1,091.40","712.00","4,958,044","3,951,299,004.50","123,229"
"17-Nov-2011","EQ","845.05","848.65","806.25","848.10","807.00","809.95","825.29","1,091.40","712.00","5,538,055","4,570,516,180.75","144,793"
"16-Nov-2011","EQ","859.10","859.10","837.35","861.45","853.95","848.10","846.91","1,091.40","712.00","3,043,186","2,577,310,792.25","80,467"
"15-Nov-2011","EQ","871.00","878.00","856.25","876.70","857.90","861.45","868.12","1,091.40","712.00","2,262,503","1,964,113,039.80","63,435"
"14-Nov-2011","EQ","891.40","896.00","873.00","885.35","873.60","876.70","887.05","1,091.40","712.00","3,656,473","3,243,492,371.35","86,923"
"11-Nov-2011","EQ","859.00","888.80","850.10","864.95","887.80","885.35","868.89","1,120.50","712.00","4,969,253","4,317,720,129.45","112,330"
"09-Nov-2011","EQ","890.05","892.65","861.15","883.70","864.25","864.95","877.66","1,120.50","712.00","2,666,312","2,340,127,579.65","58,923"
"08-Nov-2011","EQ","879.00","885.00","868.50","879.95","884.00","883.70","878.49","1,120.50","712.00","2,313,308","2,032,228,121.85","70,086"
"04-Nov-2011","EQ","905.00","905.00","872.65","885.90","879.05","879.95","883.47","1,124.90","712.00","4,171,957","3,685,797,137.20","96,283"
"03-Nov-2011","EQ","867.75","889.35","863.00","871.80","889.35","885.90","876.45","1,124.90","712.00","3,666,997","3,213,949,108.60","79,172"
"02-Nov-2011","EQ","855.00","880.95","855.00","860.60","872.40","871.80","871.79","1,124.90","712.00","3,143,275","2,740,267,902.55","80,915"
"01-Nov-2011","EQ","870.50","878.50","857.60","877.55","861.00","860.60","866.16","1,124.90","712.00","3,745,221","3,243,964,331.55","77,468"
"31-Oct-2011","EQ","898.00","899.30","872.55","900.00","875.00","877.55","885.78","1,124.90","712.00","3,628,082","3,213,686,275.15","86,776"
"28-Oct-2011","EQ","899.70","904.00","884.10","873.60","900.40","900.00","894.68","1,124.90","712.00","5,606,883","5,016,389,211.50","143,535"
"26-Oct-2011","EQ","879.00","881.50","871.05","875.95","872.00","873.60","874.74","1,124.90","712.00","737,231","644,883,206.90","23,106"
"25-Oct-2011","EQ","855.00","880.95","842.15","846.50","877.00","875.95","865.09","1,124.90","712.00","5,197,046","4,495,897,712.15","104,429"
"24-Oct-2011","EQ","848.00","854.00","843.55","835.75","845.20","846.50","848.33","1,124.90","712.00","2,075,894","1,761,046,669.30","53,038"
"21-Oct-2011","EQ","840.00","849.20","831.10","838.70","839.20","835.75","841.53","1,124.90","712.00","2,364,175","1,989,523,508.70","62,752"
"20-Oct-2011","EQ","834.85","840.90","822.00","843.00","840.40","838.70","829.69","1,124.90","712.00","2,279,371","1,891,171,977.90","61,441"
"19-Oct-2011","EQ","825.50","845.00","824.10","819.90","841.60","843.00","836.18","1,124.90","712.00","2,713,867","2,269,274,756.45","69,847"
"18-Oct-2011","EQ","825.00","826.40","811.35","833.80","820.70","819.90","817.64","1,124.90","712.00","4,182,965","3,420,146,599.30","109,003"
"17-Oct-2011","EQ","867.00","868.85","831.15","866.90","833.05","833.80","840.34","1,124.90","712.00","5,040,808","4,235,975,716.20","134,399"
"14-Oct-2011","EQ","842.00","869.70","841.50","846.90","865.00","866.90","860.41","1,124.90","712.00","4,085,035","3,514,797,329.55","112,218"
