"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jan-2004","EQ","580.00","580.00","567.15","572.85","568.05","570.65","574.24","582.80","257.15","4,071,252","2,337,889,089.90","-"
"31-Dec-2003","EQ","562.00","582.80","562.00","562.70","570.70","572.85","574.17","580.00","257.15","11,471,408","6,586,564,876.45","-"
"30-Dec-2003","EQ","537.00","580.00","535.25","537.25","563.00","562.70","558.11","538.95","257.15","12,317,141","6,874,324,301.50","-"
"29-Dec-2003","EQ","533.00","538.95","532.20","530.20","537.00","537.25","536.69","532.70","257.15","3,312,897","1,777,999,047.10","-"
"26-Dec-2003","EQ","531.15","532.70","527.25","527.90","530.50","530.20","529.97","531.00","257.15","3,439,245","1,822,698,238.05","-"
"24-Dec-2003","EQ","520.15","531.00","520.15","522.40","530.90","527.90","525.47","530.00","257.15","4,344,835","2,283,067,666.30","-"
"23-Dec-2003","EQ","435.00","529.80","435.00","527.55","524.25","522.40","524.23","530.00","257.15","4,602,904","2,412,985,576.20","-"
"22-Dec-2003","EQ","521.15","530.00","521.15","520.70","529.50","527.55","525.41","522.95","257.15","4,295,096","2,256,707,479.20","-"
"19-Dec-2003","EQ","508.00","522.95","508.00","506.95","520.85","520.70","517.31","512.00","257.15","10,672,249","5,520,904,909.20","-"
"18-Dec-2003","EQ","499.80","511.30","499.80","502.75","506.60","506.95","506.89","512.00","257.15","6,839,994","3,467,136,166.00","-"
"17-Dec-2003","EQ","506.00","507.40","500.10","504.80","502.40","502.75","503.69","512.00","257.15","6,225,689","3,135,811,612.80","-"
"16-Dec-2003","EQ","498.80","507.45","492.65","499.00","504.50","504.80","499.32","512.00","257.15","9,055,688","4,521,683,611.10","-"
"15-Dec-2003","EQ","492.00","502.30","492.00","491.30","498.65","499.00","498.07","512.00","257.15","5,962,251","2,969,621,821.80","-"
"12-Dec-2003","EQ","496.05","496.05","487.55","493.10","490.30","491.30","490.66","512.00","257.15","4,966,075","2,436,648,141.00","-"
"11-Dec-2003","EQ","501.10","504.00","489.20","497.60","490.30","493.10","496.28","512.00","257.15","7,431,704","3,688,201,647.05","-"
"10-Dec-2003","EQ","487.50","502.45","486.10","486.60","498.00","497.60","495.14","512.00","257.15","10,279,517","5,089,833,507.80","-"
"09-Dec-2003","EQ","481.35","488.35","481.35","479.90","485.10","486.60","485.29","512.00","257.15","5,662,655","2,748,039,846.75","-"
"08-Dec-2003","EQ","489.15","494.25","477.35","493.05","479.50","479.90","483.29","512.00","257.15","8,118,846","3,923,739,325.80","-"
"05-Dec-2003","EQ","510.00","512.00","491.20","508.70","492.55","493.05","502.24","511.50","257.15","5,893,629","2,960,009,640.05","-"
"04-Dec-2003","EQ","490.45","511.50","490.45","497.90","507.00","508.70","505.62","510.00","257.15","12,859,046","6,501,769,049.50","-"
"03-Dec-2003","EQ","505.00","505.00","492.85","499.60","493.00","497.90","499.82","510.00","257.15","8,420,259","4,208,631,367.80","-"
