"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2009","EQ","1,084.00","1,096.00","1,081.35","1,076.05","1,093.35","1,090.55","1,090.28","2,535.00","990.00","4,009,836","4,371,857,861.05","-"
"30-Dec-2009","EQ","1,079.80","1,085.00","1,069.50","1,080.25","1,076.00","1,076.05","1,077.14","2,535.00","990.00","2,121,225","2,284,852,465.20","-"
"29-Dec-2009","EQ","1,079.00","1,089.00","1,070.00","1,076.30","1,080.00","1,080.25","1,081.74","2,535.00","990.00","2,782,375","3,009,811,851.80","-"
"24-Dec-2009","EQ","1,075.00","1,083.80","1,058.35","1,066.20","1,072.80","1,076.30","1,071.20","2,535.00","990.00","3,691,064","3,953,860,155.35","-"
"23-Dec-2009","EQ","1,025.00","1,067.90","1,021.40","1,019.20","1,066.00","1,066.20","1,051.20","2,535.00","990.00","4,903,897","5,154,978,130.45","-"
"22-Dec-2009","EQ","1,018.20","1,028.80","1,011.30","1,016.95","1,019.00","1,019.20","1,020.79","2,535.00","990.00","3,186,287","3,252,528,774.75","-"
"21-Dec-2009","EQ","1,001.00","1,030.80","990.00","1,007.65","1,013.50","1,016.95","1,014.94","2,535.00","990.00","5,621,862","5,705,877,277.55","-"
"18-Dec-2009","EQ","1,035.00","1,035.00","1,005.00","1,034.95","1,006.25","1,007.65","1,017.39","2,535.00","1,005.00","5,025,388","5,112,776,990.10","-"
"17-Dec-2009","EQ","1,054.80","1,054.80","1,030.00","1,047.15","1,032.70","1,034.95","1,038.94","2,535.00","1,011.00","3,245,059","3,371,429,486.50","-"
"16-Dec-2009","EQ","1,049.90","1,055.00","1,038.10","1,051.60","1,052.00","1,047.15","1,045.76","2,535.00","1,011.00","3,376,882","3,531,421,575.30","-"
"15-Dec-2009","EQ","1,068.00","1,074.00","1,048.00","1,067.95","1,049.00","1,051.60","1,060.24","2,535.00","1,011.00","3,354,156","3,556,215,449.00","-"
"14-Dec-2009","EQ","1,068.00","1,084.00","1,063.00","1,071.25","1,067.00","1,067.95","1,074.34","2,535.00","1,011.00","3,182,678","3,419,289,897.85","-"
"11-Dec-2009","EQ","1,080.00","1,088.00","1,064.50","1,071.80","1,072.00","1,071.25","1,076.77","2,535.00","1,011.00","3,531,678","3,802,794,123.65","-"
"10-Dec-2009","EQ","1,073.70","1,082.00","1,062.00","1,071.85","1,068.05","1,071.80","1,072.31","2,535.00","1,011.00","2,958,917","3,172,888,175.95","-"
"09-Dec-2009","EQ","1,070.00","1,078.00","1,062.15","1,080.35","1,072.30","1,071.85","1,071.41","2,535.00","1,011.00","2,555,542","2,738,039,728.50","-"
"08-Dec-2009","EQ","1,060.00","1,084.45","1,055.15","1,055.00","1,081.05","1,080.35","1,074.94","2,535.00","1,011.00","4,670,917","5,020,974,934.75","-"
"07-Dec-2009","EQ","1,088.00","1,094.10","1,050.00","1,088.40","1,053.70","1,055.00","1,068.50","2,535.00","1,011.00","4,725,251","5,048,944,380.95","-"
"04-Dec-2009","EQ","1,091.00","1,107.00","1,080.30","1,099.65","1,090.30","1,088.40","1,093.39","2,535.00","1,011.00","3,191,869","3,489,970,382.65","-"
