"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jan-2002","EQ","304.90","308.90","302.60","306.20","305.50","305.00","305.88","451.00","203.60","688,738","210,673,123.75","-"
"31-Dec-2001","EQ","304.00","308.85","298.60","301.90","306.30","306.20","303.84","451.00","203.60","1,160,420","352,578,073.90","-"
"28-Dec-2001","EQ","300.00","304.90","289.20","302.25","303.65","301.90","295.26","451.00","203.60","2,118,135","625,400,887.60","-"
"27-Dec-2001","EQ","305.00","306.45","298.20","306.80","302.00","302.25","303.09","451.00","203.60","2,556,014","774,704,907.25","-"
"26-Dec-2001","EQ","309.90","313.00","303.40","310.70","304.75","306.80","309.29","451.00","203.60","665,579","205,856,380.95","-"
"24-Dec-2001","EQ","306.00","312.40","305.00","310.35","311.85","310.70","308.92","451.00","203.60","990,393","305,954,473.85","-"
"21-Dec-2001","EQ","305.00","311.50","305.00","310.30","309.75","310.35","308.68","451.00","203.60","1,007,333","310,940,563.05","-"
"20-Dec-2001","EQ","308.50","312.00","302.60","308.70","310.80","310.30","307.24","451.00","203.60","1,761,020","541,050,253.80","-"
"19-Dec-2001","EQ","313.90","313.90","307.00","309.15","307.50","308.70","309.39","451.00","203.60","2,548,940","788,611,030.70","-"
"18-Dec-2001","EQ","310.00","314.55","302.60","310.30","309.55","309.15","307.08","451.00","203.60","1,545,851","474,695,340.15","-"
"14-Dec-2001","EQ","311.00","312.00","305.25","311.00","309.50","310.30","309.52","451.00","203.60","1,338,554","414,304,487.20","-"
"13-Dec-2001","EQ","312.75","319.00","295.65","311.00","311.10","311.00","311.02","451.00","203.60","4,118,449","1,280,909,041.75","-"
"12-Dec-2001","EQ","313.00","319.90","309.10","310.45","312.00","311.00","311.53","451.00","203.60","1,824,971","568,536,500.90","-"
"11-Dec-2001","EQ","315.00","317.85","309.05","315.05","311.00","310.45","313.46","451.00","203.60","1,647,077","516,296,336.35","-"
"10-Dec-2001","EQ","311.00","319.95","311.00","312.00","315.75","315.05","315.55","451.00","203.60","1,468,582","463,414,474.75","-"
"07-Dec-2001","EQ","310.00","315.80","310.00","309.95","312.00","312.00","312.77","451.00","203.60","2,170,654","678,906,692.45","-"
"06-Dec-2001","EQ","320.00","324.50","306.10","313.30","309.50","309.95","315.04","451.00","203.60","3,474,221","1,094,516,736.70","-"
"05-Dec-2001","EQ","305.15","315.80","304.00","298.50","313.40","313.30","308.76","451.00","203.60","3,263,776","1,007,715,009.65","-"
"04-Dec-2001","EQ","292.00","301.00","291.00","290.45","301.00","298.50","297.74","451.00","203.60","2,459,911","732,423,899.00","-"
"03-Dec-2001","EQ","291.10","293.70","286.00","289.95","290.05","290.45","290.30","451.00","203.60","1,912,965","555,331,256.45","-"
"29-Nov-2001","EQ","290.00","291.80","286.00","290.55","289.75","289.95","289.26","451.00","203.60","1,742,425","504,022,308.40","-"
"28-Nov-2001","EQ","293.20","294.25","285.30","293.20","291.05","290.55","289.62","451.00","203.60","2,312,724","669,801,794.10","-"
"27-Nov-2001","EQ","302.00","304.90","290.80","298.60","293.00","293.20","299.33","451.00","203.60","1,982,779","593,511,785.45","-"
"26-Nov-2001","EQ","295.70","301.70","294.25","291.90","297.75","298.60","298.91","451.00","203.60","2,619,888","783,101,124.10","-"
"23-Nov-2001","EQ","292.00","296.50","284.75","291.90","291.25","291.90","290.76","451.00","203.60","2,574,077","748,448,073.70","-"
"22-Nov-2001","EQ","295.00","298.40","290.10","294.40","290.60","291.90","294.06","451.00","203.60","2,249,544","661,502,455.65","-"
"21-Nov-2001","EQ","292.00","302.25","287.50","291.05","293.50","294.40","296.55","451.00","203.60","2,899,237","859,776,478.15","-"
"20-Nov-2001","EQ","310.00","311.00","288.00","305.25","288.00","291.05","297.81","451.00","203.60","3,166,328","942,968,915.35","-"
"19-Nov-2001","EQ","284.10","305.90","284.10","278.05","305.00","305.25","299.28","451.00","203.60","5,072,690","1,518,135,902.05","-"
"15-Nov-2001","EQ","273.00","279.70","272.00","273.20","278.00","278.05","276.10","451.00","203.60","2,236,477","617,484,590.95","-"
"14-Nov-2001","EQ","271.90","274.75","271.15","268.45","273.25","273.20","272.64","451.00","203.60","880,830","240,149,706.80","-"
"13-Nov-2001","EQ","266.00","269.50","263.30","266.20","269.00","268.45","266.97","451.00","203.60","2,293,943","612,406,207.45","-"
"12-Nov-2001","EQ","264.90","269.40","263.30","264.05","265.10","266.20","267.11","451.00","203.60","1,982,073","529,424,375.75","-"
"09-Nov-2001","EQ","263.50","266.45","260.30","260.70","263.00","264.05","263.93","451.00","203.60","2,471,591","652,316,318.40","-"
"08-Nov-2001","EQ","259.00","262.45","251.85","259.10","262.00","260.70","257.91","451.00","203.60","2,968,794","765,674,830.65","-"
"07-Nov-2001","EQ","265.50","266.50","256.30","262.50","256.60","259.10","261.88","451.00","203.60","1,591,291","416,727,240.80","-"
"06-Nov-2001","EQ","265.00","267.00","258.75","261.50","262.70","262.50","263.07","451.00","203.60","2,407,302","633,276,947.00","-"
"05-Nov-2001","EQ","263.40","263.40","257.25","262.95","262.30","261.50","260.11","451.00","203.60","2,452,036","637,809,143.75","-"
"02-Nov-2001","EQ","260.50","269.00","260.05","260.70","261.00","262.95","265.68","451.00","203.60","3,162,238","840,133,715.30","-"
"01-Nov-2001","EQ","257.00","262.90","255.25","254.40","258.70","260.70","259.47","451.00","203.60","3,906,455","1,013,611,530.15","-"
"31-Oct-2001","EQ","254.00","258.45","248.25","252.55","257.00","254.40","253.84","451.00","203.60","7,666,865","1,946,163,931.65","-"
"30-Oct-2001","EQ","256.00","257.70","251.15","260.45","253.50","252.55","254.31","451.00","203.60","2,477,835","630,145,099.80","-"
"29-Oct-2001","EQ","266.00","270.40","257.10","263.90","258.75","260.45","265.16","451.00","203.60","2,178,728","577,706,180.05","-"
"25-Oct-2001","EQ","269.00","269.50","261.75","265.95","264.55","263.90","265.86","451.00","203.60","1,980,720","526,602,101.50","-"
"24-Oct-2001","EQ","278.00","278.00","264.60","274.90","267.60","265.95","268.64","451.00","203.60","3,420,857","918,972,531.05","-"
"23-Oct-2001","EQ","276.70","277.65","273.25","272.80","274.00","274.90","275.08","451.00","203.60","1,895,548","521,435,460.60","-"
"22-Oct-2001","EQ","276.75","283.40","270.00","276.50","271.60","272.80","277.60","451.00","203.60","3,013,785","836,613,657.65","-"
"19-Oct-2001","EQ","275.50","278.50","273.50","275.95","276.20","276.50","276.05","451.00","203.60","2,778,606","767,025,502.85","-"
"18-Oct-2001","EQ","279.70","280.50","274.10","284.55","275.20","275.95","276.50","451.00","203.60","3,020,937","835,287,309.65","-"
"17-Oct-2001","EQ","275.00","286.70","273.00","273.60","284.25","284.55","283.24","451.00","203.60","4,263,961","1,207,718,711.90","-"
"16-Oct-2001","EQ","274.90","276.90","271.65","273.60","272.25","273.60","273.81","451.00","203.60","3,240,179","887,195,198.60","-"
"15-Oct-2001","EQ","265.60","276.70","263.00","267.05","275.70","273.60","270.31","451.00","203.60","4,737,266","1,280,530,825.50","-"
"12-Oct-2001","EQ","267.15","272.80","265.10","265.40","267.00","267.05","268.92","451.00","203.60","6,271,626","1,686,578,364.25","-"
"11-Oct-2001","EQ","260.00","268.70","260.00","258.15","263.40","265.40","264.80","451.00","203.60","5,676,629","1,503,169,002.25","-"
"10-Oct-2001","EQ","252.00","263.80","252.00","253.10","257.10","258.15","258.67","451.00","203.60","6,465,289","1,672,395,139.65","-"
