"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jan-2016","EQ","1,009.80","1,018.90","1,008.20","1,014.60","1,013.60","1,015.35","1,015.52","1,067.85","796.45","1,238,135","1,257,352,825.30","30,701"
"31-Dec-2015","EQ","1,003.40","1,019.70","999.10","1,004.50","1,010.40","1,014.60","1,011.80","1,067.85","796.45","4,225,066","4,274,933,699.75","58,372"
"30-Dec-2015","EQ","1,015.00","1,016.00","1,002.00","1,015.40","1,003.45","1,004.50","1,007.91","1,067.85","796.45","1,863,321","1,878,062,565.55","63,926"
"29-Dec-2015","EQ","1,010.40","1,018.70","1,007.15","1,010.40","1,014.00","1,015.40","1,014.21","1,067.85","796.45","3,409,060","3,457,505,612.35","113,811"
"28-Dec-2015","EQ","1,000.60","1,013.75","1,000.00","1,000.55","1,010.10","1,010.40","1,009.24","1,067.85","796.45","2,945,508","2,972,724,426.95","52,257"
"24-Dec-2015","EQ","1,003.90","1,007.20","996.30","1,003.80","1,002.40","1,000.55","1,000.54","1,067.85","796.45","2,720,569","2,722,049,041.30","71,797"
"23-Dec-2015","EQ","991.80","1,006.90","990.00","987.30","1,004.70","1,003.80","1,003.71","1,067.85","796.45","2,953,173","2,964,130,174.90","105,611"
"22-Dec-2015","EQ","992.80","1,002.60","984.00","992.10","985.90","987.30","992.85","1,067.85","796.45","2,646,828","2,627,900,435.30","85,459"
"21-Dec-2015","EQ","987.90","999.00","984.35","991.90","990.50","992.10","991.29","1,067.85","796.45","2,818,835","2,794,289,628.95","67,705"
"18-Dec-2015","EQ","1,003.80","1,009.00","990.00","1,009.70","990.60","991.90","995.59","1,067.85","796.45","3,661,020","3,644,888,836.10","91,366"
"17-Dec-2015","EQ","980.05","1,015.00","978.00","978.65","1,013.05","1,009.70","996.08","1,067.85","796.45","4,427,435","4,410,078,031.00","115,033"
"16-Dec-2015","EQ","975.90","987.55","973.50","975.90","979.00","978.65","981.35","1,067.85","796.45","2,765,248","2,713,678,998.10","87,348"
"15-Dec-2015","EQ","957.00","977.95","953.65","955.10","976.00","975.90","969.49","1,067.85","796.45","3,593,061","3,483,432,305.45","116,706"
"14-Dec-2015","EQ","947.60","963.50","946.00","952.95","958.05","955.10","955.64","1,067.85","796.45","2,414,730","2,307,622,940.10","92,541"
"11-Dec-2015","EQ","951.75","959.00","942.90","950.35","950.90","952.95","950.93","1,067.85","796.45","4,150,045","3,946,421,062.50","80,404"
"10-Dec-2015","EQ","922.50","953.80","920.00","915.90","949.25","950.35","940.59","1,067.85","796.45","4,249,865","3,997,390,491.70","117,406"
"09-Dec-2015","EQ","936.20","943.45","912.85","940.90","917.75","915.90","924.72","1,067.85","796.45","2,097,118","1,939,255,721.30","54,403"
"08-Dec-2015","EQ","948.90","953.60","936.10","952.05","940.00","940.90","945.84","1,067.85","796.45","1,721,726","1,628,485,606.80","62,533"
"07-Dec-2015","EQ","965.45","973.00","949.75","965.45","952.60","952.05","957.40","1,067.85","796.45","3,310,778","3,169,747,737.25","77,551"
"04-Dec-2015","EQ","972.30","976.20","961.40","977.20","966.00","965.45","967.43","1,067.85","796.45","3,073,001","2,972,905,921.30","78,197"
"03-Dec-2015","EQ","974.90","988.95","974.10","977.95","977.05","977.20","980.75","1,067.85","796.45","2,597,024","2,547,027,061.30","54,577"
"02-Dec-2015","EQ","966.25","979.70","964.50","965.90","978.65","977.95","972.76","1,067.85","796.45","1,731,204","1,684,038,388.30","65,916"
"01-Dec-2015","EQ","964.00","978.80","961.25","965.85","966.55","965.90","968.50","1,067.85","796.45","2,967,325","2,873,866,598.10","65,247"
"30-Nov-2015","EQ","978.50","984.40","962.30","979.05","967.10","965.85","967.44","1,067.85","796.45","6,839,027","6,616,381,263.25","92,076"
"27-Nov-2015","EQ","989.00","992.50","974.10","988.65","979.50","979.05","982.75","1,067.85","796.45","2,489,697","2,446,752,089.40","68,929"
"26-Nov-2015","EQ","971.00","991.95","968.25","967.70","990.00","988.65","983.36","1,067.85","796.45","5,441,612","5,351,054,045.30","110,515"
"24-Nov-2015","EQ","953.00","971.60","951.05","953.75","969.10","967.70","964.16","1,067.85","796.45","3,384,443","3,263,129,053.30","83,064"
"23-Nov-2015","EQ","950.00","957.90","946.20","946.85","956.30","953.75","951.73","1,067.85","796.45","2,400,013","2,284,167,695.50","79,563"
"20-Nov-2015","EQ","934.00","952.80","925.55","934.75","948.00","946.85","942.21","1,067.85","796.45","2,583,965","2,434,625,108.60","57,892"
"19-Nov-2015","EQ","918.90","938.70","917.25","912.00","933.55","934.75","931.31","1,067.85","796.45","2,784,876","2,593,595,319.75","81,482"
"18-Nov-2015","EQ","927.60","931.30","909.95","927.75","911.00","912.00","921.37","1,067.85","796.45","2,571,383","2,369,198,147.05","132,654"
"17-Nov-2015","EQ","938.05","938.90","926.20","934.30","927.35","927.75","931.47","1,067.85","796.45","1,963,105","1,828,573,751.25","42,115"
"16-Nov-2015","EQ","926.00","942.00","924.75","933.05","933.00","934.30","934.51","1,067.85","796.45","3,507,963","3,278,209,566.00","65,980"
"13-Nov-2015","EQ","915.05","938.55","914.50","928.45","931.85","933.05","929.36","1,067.85","796.45","3,127,549","2,906,624,223.30","99,399"
"11-Nov-2015","EQ","927.10","932.85","927.10","922.75","928.50","928.45","928.82","1,067.85","796.45","299,511","278,193,265.40","8,723"
"10-Nov-2015","EQ","957.00","959.50","916.30","961.25","925.70","922.75","933.44","1,067.85","796.45","2,625,561","2,450,815,116.80","65,647"
"09-Nov-2015","EQ","933.50","965.00","923.45","952.40","960.35","961.25","949.16","1,067.85","796.45","3,893,160","3,695,240,929.20","73,959"
"06-Nov-2015","EQ","939.45","954.75","937.90","936.60","951.80","952.40","948.47","1,067.85","796.45","1,912,599","1,814,038,443.40","71,989"
"05-Nov-2015","EQ","949.00","951.00","933.00","951.30","935.15","936.60","941.85","1,067.85","796.45","2,461,259","2,318,129,285.20","90,682"
"04-Nov-2015","EQ","968.00","975.00","946.20","967.20","947.45","951.30","961.91","1,067.85","796.45","2,293,418","2,206,063,533.05","72,054"
"03-Nov-2015","EQ","963.25","970.45","961.25","959.80","967.00","967.20","965.43","1,067.85","796.45","2,599,796","2,509,909,526.20","65,688"
"02-Nov-2015","EQ","949.00","961.50","945.20","947.70","959.85","959.80","953.41","1,067.85","796.45","1,650,838","1,573,930,467.85","42,402"
"30-Oct-2015","EQ","942.10","955.90","940.10","941.00","946.50","947.70","949.62","1,067.85","796.45","3,055,325","2,901,385,100.50","69,257"
"29-Oct-2015","EQ","936.00","945.00","934.95","936.95","940.50","941.00","940.34","1,067.85","796.45","3,035,672","2,854,567,951.55","76,473"
"28-Oct-2015","EQ","936.90","944.90","929.90","939.55","936.90","936.95","936.98","1,067.85","796.45","2,733,564","2,561,292,471.80","67,044"
"27-Oct-2015","EQ","938.80","948.25","937.40","942.85","939.50","939.55","941.44","1,067.85","796.45","2,651,976","2,496,676,187.35","87,659"
"26-Oct-2015","EQ","961.90","963.00","941.30","955.65","942.15","942.85","948.12","1,067.85","796.45","2,500,420","2,370,709,957.35","63,826"
"23-Oct-2015","EQ","963.95","973.05","941.15","955.00","954.80","955.65","962.90","1,067.85","796.45","2,778,068","2,675,010,217.75","76,623"
"21-Oct-2015","EQ","955.50","974.80","953.00","956.70","953.90","955.00","963.05","1,067.85","796.45","3,292,615","3,170,968,735.25","91,253"
"20-Oct-2015","EQ","965.00","966.70","953.00","963.50","955.00","956.70","957.47","1,067.85","796.45","4,135,503","3,959,605,691.70","78,770"
"19-Oct-2015","EQ","941.00","965.50","941.00","912.15","962.30","963.50","956.63","1,067.85","796.45","7,658,875","7,326,705,950.85","169,482"
"16-Oct-2015","EQ","904.50","914.80","903.70","903.70","914.80","912.15","911.22","1,067.85","796.45","3,485,193","3,175,764,997.75","77,292"
"15-Oct-2015","EQ","907.70","911.00","900.10","902.95","903.60","903.70","905.46","1,067.85","796.45","2,068,330","1,872,783,597.80","86,429"
"14-Oct-2015","EQ","895.80","905.00","893.95","893.60","904.20","902.95","899.94","1,067.85","796.45","1,829,257","1,646,229,782.55","52,175"
"13-Oct-2015","EQ","885.05","896.30","882.90","891.75","895.00","893.60","890.39","1,067.85","796.45","1,408,658","1,254,250,672.15","36,218"
"12-Oct-2015","EQ","888.00","901.60","888.00","887.35","892.35","891.75","894.81","1,067.85","796.45","1,420,049","1,270,670,775.95","38,862"
"09-Oct-2015","EQ","894.05","905.45","881.50","889.10","885.70","887.35","892.19","1,067.85","796.45","2,132,195","1,902,314,415.25","56,884"
"08-Oct-2015","EQ","914.90","914.90","886.25","913.80","892.40","889.10","899.98","1,067.85","796.45","2,457,989","2,212,130,070.45","62,316"
"07-Oct-2015","EQ","894.70","918.05","891.00","898.05","916.10","913.80","903.50","1,067.85","796.45","2,632,179","2,378,175,019.50","74,168"
"06-Oct-2015","EQ","895.65","900.50","885.75","888.00","893.90","898.05","893.49","1,067.85","796.45","2,818,498","2,518,310,002.35","89,048"
"05-Oct-2015","EQ","862.80","890.00","861.85","864.70","889.50","888.00","878.86","1,067.85","796.45","3,660,854","3,217,373,612.90","87,514"
"01-Oct-2015","EQ","873.95","873.95","858.60","862.30","862.50","864.70","864.09","1,067.85","796.45","1,980,306","1,711,170,175.45","43,384"
"30-Sep-2015","EQ","851.00","864.80","838.50","840.75","862.05","862.30","853.69","1,067.85","796.45","3,952,665","3,374,345,922.80","101,403"
"29-Sep-2015","EQ","830.00","850.25","826.10","834.25","842.00","840.75","838.35","1,067.85","796.45","3,623,837","3,038,029,131.75","85,289"
"28-Sep-2015","EQ","839.80","840.90","828.70","837.35","835.00","834.25","834.47","1,067.85","796.45","2,657,197","2,217,340,372.55","66,012"
"24-Sep-2015","EQ","848.00","848.00","834.75","850.35","836.65","837.35","838.12","1,067.85","796.45","6,646,509","5,570,566,522.15","82,970"
"23-Sep-2015","EQ","843.00","856.80","840.00","847.90","849.30","850.35","848.94","1,067.85","796.45","3,479,324","2,953,742,569.50","61,882"
"22-Sep-2015","EQ","880.00","884.90","844.50","878.10","846.00","847.90","861.37","1,067.85","796.45","3,599,162","3,100,216,313.80","91,666"
"21-Sep-2015","EQ","880.00","888.20","876.05","895.40","877.75","878.10","882.23","1,067.85","796.45","2,910,364","2,567,622,476.50","83,987"
"18-Sep-2015","EQ","878.45","899.50","877.15","872.55","891.70","895.40","890.05","1,067.85","796.45","7,831,592","6,970,523,418.40","126,115"
"16-Sep-2015","EQ","872.10","877.35","865.20","868.15","872.60","872.55","872.10","1,067.85","796.45","3,068,686","2,676,215,513.95","59,035"
"15-Sep-2015","EQ","862.00","870.00","855.60","863.85","867.00","868.15","864.45","1,067.85","796.45","2,630,944","2,274,316,209.35","63,045"
"14-Sep-2015","EQ","861.75","865.70","851.90","860.95","862.00","863.85","858.87","1,067.85","796.45","1,820,453","1,563,528,912.35","45,885"
