Date ,High_Stationary,HIGH ,lag_1,lag_2
2000-06-01,-25.350000000000023,354.65,26.94999999999999,6.0
2000-07-01,20.899999999999977,377.7,-25.350000000000023,26.94999999999999
2000-08-01,-8.649999999999977,346.0,20.899999999999977,-25.350000000000023
2000-09-01,12.100000000000023,389.8,-8.649999999999977,20.899999999999977
2000-10-01,2.5,348.5,12.100000000000023,-8.649999999999977
2000-11-01,-57.400000000000034,332.4,2.5,12.100000000000023
2000-12-01,4.300000000000011,352.8,-57.400000000000034,2.5
2001-01-01,72.60000000000002,405.0,4.300000000000011,-57.400000000000034
2001-02-01,76.55000000000001,429.35,72.60000000000002,4.300000000000011
2001-03-01,46.0,451.0,76.55000000000001,72.60000000000002
2001-04-01,-34.35000000000002,395.0,46.0,76.55000000000001
2001-05-01,-44.05000000000001,406.95,-34.35000000000002,46.0
2001-06-01,-0.75,394.25,-44.05000000000001,-34.35000000000002
2001-07-01,-11.949999999999989,395.0,-0.75,-44.05000000000001
2001-08-01,-52.80000000000001,341.45,-11.949999999999989,-0.75
2001-09-01,-77.0,318.0,-52.80000000000001,-11.949999999999989
2001-10-01,-54.75,286.7,-77.0,-52.80000000000001
2001-11-01,-7.0,311.0,-54.75,-77.0
2001-12-01,37.80000000000001,324.5,-7.0,-54.75
2002-01-01,33.0,344.0,37.80000000000001,-7.0
2002-02-01,5.75,330.25,33.0,37.80000000000001
2002-03-01,-4.0,340.0,5.75,33.0
2002-04-01,-10.350000000000023,319.9,-4.0,5.75
2002-05-01,-44.60000000000002,295.4,-10.350000000000023,-4.0
2002-06-01,-28.5,291.4,-44.60000000000002,-10.350000000000023
2002-07-01,-16.44999999999999,278.95,-28.5,-44.60000000000002
2002-08-01,-31.399999999999977,260.0,-16.44999999999999,-28.5
2002-09-01,-8.0,270.95,-31.399999999999977,-16.44999999999999
2002-10-01,9.399999999999977,269.4,-8.0,-31.399999999999977
2002-11-01,24.850000000000023,295.8,9.399999999999977,-8.0
2002-12-01,37.0,306.4,24.850000000000023,9.399999999999977
2003-01-01,14.199999999999989,310.0,37.0,24.850000000000023
2003-02-01,-2.6499999999999773,303.75,14.199999999999989,37.0
2003-03-01,-8.800000000000011,301.2,-2.6499999999999773,14.199999999999989
2003-04-01,-1.75,302.0,-8.800000000000011,-2.6499999999999773
2003-05-01,0.8000000000000114,302.0,-1.75,-8.800000000000011
2003-06-01,35.75,337.75,0.8000000000000114,-1.75
2003-07-01,59.85000000000002,361.85,35.75,0.8000000000000114
2003-08-01,86.94999999999999,424.7,59.85000000000002,35.75
2003-09-01,148.14999999999998,510.0,86.94999999999999,59.85000000000002
2003-10-01,73.19999999999999,497.9,148.14999999999998,86.94999999999999
2003-11-01,0.0,510.0,73.19999999999999,148.14999999999998
2003-12-01,84.89999999999998,582.8,0.0,73.19999999999999
2004-01-01,95.89999999999998,605.9,84.89999999999998,0.0
2004-02-01,37.200000000000045,620.0,95.89999999999998,84.89999999999998
2004-03-01,-5.899999999999977,600.0,37.200000000000045,95.89999999999998
2004-04-01,30.0,650.0,-5.899999999999977,37.200000000000045
2004-05-01,33.049999999999955,633.05,30.0,-5.899999999999977
2004-06-01,-191.75,458.25,33.049999999999955,30.0
2004-07-01,-142.54999999999995,490.5,-191.75,33.049999999999955
2004-08-01,96.75,555.0,-142.54999999999995,-191.75
2004-09-01,29.25,519.75,96.75,-142.54999999999995
2004-10-01,45.0,600.0,29.25,96.75
2004-11-01,67.25,587.0,45.0,29.25
2004-12-01,-52.10000000000002,547.9,67.25,45.0
2005-01-01,-37.0,550.0,-52.10000000000002,67.25
2005-02-01,49.89999999999998,597.8,-37.0,-52.10000000000002
2005-03-01,50.799999999999955,600.8,49.89999999999998,-37.0
2005-04-01,-20.899999999999977,576.9,50.799999999999955,49.89999999999998
2005-05-01,-45.049999999999955,555.75,-20.899999999999977,50.799999999999955
2005-06-01,98.10000000000002,675.0,-45.049999999999955,-20.899999999999977
2005-07-01,156.14999999999998,711.9,98.10000000000002,-45.049999999999955
2005-08-01,124.0,799.0,156.14999999999998,98.10000000000002
2005-09-01,128.10000000000002,840.0,124.0,156.14999999999998
2005-10-01,10.899999999999977,809.9,128.10000000000002,124.0
2005-11-01,25.850000000000023,865.85,10.899999999999977,128.10000000000002
2005-12-01,90.95000000000005,900.85,25.850000000000023,10.899999999999977
2006-01-01,71.14999999999998,937.0,90.95000000000005,25.850000000000023
2006-02-01,-176.5,724.35,71.14999999999998,90.95000000000005
2006-03-01,-129.0,808.0,-176.5,71.14999999999998
2006-04-01,325.65,1050.0,-129.0,-176.5
2006-05-01,376.4000000000001,1184.4,325.65,-129.0
2006-06-01,14.0,1064.0,376.4000000000001,325.65
2006-07-01,-84.40000000000009,1100.0,14.0,376.4000000000001
2006-08-01,75.90000000000009,1139.9,-84.40000000000009,14.0
2006-09-01,96.79999999999995,1196.8,75.90000000000009,-84.40000000000009
2006-10-01,100.09999999999991,1240.0,96.79999999999995,75.90000000000009
2006-11-01,119.15000000000009,1315.95,100.09999999999991,96.79999999999995
2006-12-01,69.0,1309.0,119.15000000000009,100.09999999999991
2007-01-01,112.04999999999995,1428.0,69.0,119.15000000000009
2007-02-01,135.4000000000001,1444.4,112.04999999999995,69.0
2007-03-01,-44.200000000000045,1383.8,135.4000000000001,112.04999999999995
2007-04-01,182.19999999999982,1626.6,-44.200000000000045,135.4000000000001
2007-05-01,414.0,1797.8,182.19999999999982,-44.200000000000045
2007-06-01,173.4000000000001,1800.0,414.0,182.19999999999982
2007-07-01,150.70000000000005,1948.5,173.4000000000001,414.0
2007-08-01,170.0,1970.0,150.70000000000005,173.4000000000001
2007-09-01,477.5,2426.0,170.0,150.70000000000005
2007-10-01,1019.0,2989.0,477.5,170.0
2007-11-01,502.0,2928.0,1019.0,477.5
2007-12-01,-1.0,2988.0,502.0,1019.0
2008-01-01,370.0,3298.0,-1.0,502.0
2008-02-01,-346.0,2642.0,370.0,-1.0
2008-03-01,-869.5999999999999,2428.4,-346.0,370.0
2008-04-01,76.0,2718.0,-869.5999999999999,-346.0
2008-05-01,597.5999999999999,3026.0,76.0,-869.5999999999999
2008-06-01,-274.0,2444.0,597.5999999999999,76.0
2008-07-01,-687.5500000000002,2338.45,-274.0,597.5999999999999
2008-08-01,-68.0,2376.0,-687.5500000000002,-274.0
2008-09-01,-88.44999999999982,2250.0,-68.0,-687.5500000000002
2008-10-01,-413.0,1963.0,-88.44999999999982,-68.0
2008-11-01,-744.8,1505.2,-413.0,-88.44999999999982
2008-12-01,-556.0,1407.0,-744.8,-413.0
2009-01-01,-115.20000000000005,1390.0,-556.0,-744.8
2009-02-01,7.099999999999909,1414.1,-115.20000000000005,-556.0
2009-03-01,193.4000000000001,1583.4,7.099999999999909,-115.20000000000005
2009-04-01,425.9000000000001,1840.0,193.4000000000001,7.099999999999909
2009-05-01,951.5999999999999,2535.0,425.9000000000001,193.4000000000001
2009-06-01,539.0,2379.0,951.5999999999999,425.9000000000001
2009-07-01,-352.0,2183.0,539.0,951.5999999999999
2009-08-01,-254.0,2125.0,-352.0,539.0
2009-09-01,56.90000000000009,2239.9,-254.0,-352.0
2009-10-01,160.30000000000018,2285.3,56.90000000000009,-254.0
2009-11-01,-14.0,2225.9,160.30000000000018,56.90000000000009
2009-12-01,-1165.3000000000002,1120.0,-14.0,160.30000000000018
