Date ,High_Stationary,HIGH 
2012-10-01,37.10000000000002,862.0
2012-11-01,-66.70000000000005,814.9
2012-12-01,-12.200000000000045,849.8
2013-01-01,140.10000000000002,955.0
2013-02-01,51.200000000000045,901.0
2013-03-01,-85.60000000000002,869.4
2013-04-01,-74.39999999999998,826.6
2013-05-01,-14.399999999999977,855.0
2013-06-01,46.39999999999998,873.0
2013-07-01,72.89999999999998,927.9
2013-08-01,9.850000000000023,882.85
2013-09-01,-26.899999999999977,901.0
2013-10-01,35.14999999999998,918.0
2013-11-01,25.549999999999955,926.55
2013-12-01,-9.0,909.0
2014-01-01,-28.299999999999955,898.25
2014-02-01,-79.20000000000005,829.8
2014-03-01,41.549999999999955,939.8
2014-04-01,158.95000000000005,988.75
2014-05-01,205.45000000000005,1145.25
2014-06-01,144.25,1133.0
2014-07-01,-101.95000000000005,1043.3
2014-08-01,-110.0,1023.0
2014-09-01,-2.0,1041.3
2014-10-01,-19.299999999999955,1003.7
2014-11-01,-23.949999999999932,1017.35
2014-12-01,-11.75,991.95
2015-01-01,-82.85000000000002,934.5
2015-02-01,-48.15000000000009,943.8
2015-03-01,-24.850000000000023,909.65
2015-04-01,0.5,944.3
2015-05-01,5.75,915.4
2015-06-01,69.80000000000007,1014.1
2015-07-01,152.44999999999993,1067.85
2015-08-01,-0.25,1013.85
2015-09-01,-168.3499999999999,899.5
2015-10-01,-39.05000000000007,974.8
2015-11-01,93.0,992.5
2015-12-01,44.90000000000009,1019.7
2016-01-01,97.25,1089.75
2016-02-01,22.09999999999991,1041.8
2016-03-01,-33.75,1056.0
2016-04-01,28.100000000000136,1069.9
2016-05-01,-61.049999999999955,994.95
2016-06-01,-75.75000000000011,994.15
2016-07-01,43.799999999999955,1038.75
2016-08-01,79.85000000000002,1074.0
2016-09-01,90.79999999999995,1129.55
2016-10-01,52.25,1126.25
2016-11-01,-73.59999999999991,1055.95
2016-12-01,-41.25,1085.0
2017-01-01,41.549999999999955,1097.5
2017-02-01,171.79999999999995,1256.8
2017-03-01,240.1500000000001,1337.65
2017-04-01,210.95000000000005,1467.75
2017-05-01,64.34999999999991,1402.0
2017-06-01,-22.34999999999991,1445.4
2017-07-01,229.5,1631.5
2017-08-01,219.5,1664.9
2017-09-01,21.0,1652.5
2017-10-01,-707.1000000000001,957.8
2017-11-01,-693.0,959.5
2017-12-01,-18.899999999999977,938.9
2018-01-01,31.450000000000045,990.95
2018-02-01,33.700000000000045,972.6
2018-03-01,-31.050000000000068,959.9
2018-04-01,38.39999999999998,1011.0
2018-05-01,40.10000000000002,1000.0
2018-06-01,25.0,1036.0
2018-07-01,190.4000000000001,1190.4
2018-08-01,293.0,1329.0
2018-09-01,90.94999999999982,1281.35
2018-10-01,-71.29999999999995,1257.7
2018-11-01,-95.34999999999991,1186.0
2018-12-01,-82.79999999999995,1174.9
2019-01-01,78.70000000000005,1264.7
2019-02-01,146.29999999999995,1321.2
2019-03-01,123.29999999999995,1388.0
2019-04-01,91.20000000000005,1412.4
2019-05-01,29.5,1417.5
2019-06-01,-38.15000000000009,1374.25
2019-07-01,-117.5,1300.0
2019-08-01,-69.79999999999995,1304.45
2019-09-01,35.75,1335.75
2019-10-01,185.20000000000005,1489.65
2019-11-01,248.4000000000001,1584.15
2019-12-01,127.89999999999986,1617.55
2020-01-01,24.84999999999991,1609.0
2020-02-01,-109.54999999999995,1508.0
2020-03-01,-240.0,1369.0
2020-04-01,-13.049999999999955,1494.95
2020-05-01,246.0,1615.0
2020-06-01,309.25,1804.2
2020-07-01,583.8000000000002,2198.8
2020-08-01,391.79999999999995,2196.0
2020-09-01,170.54999999999973,2369.35
2020-10-01,113.0,2309.0
